"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES"
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-16",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-17",,,,,"0.00","T,,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-18",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-19",,,,,"0.25",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-20",,,,,"0.51",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-21",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-22",,,,,"0.07",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-23",,,,,"0.00","T,,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-24",,,,,"0.00","T,,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-25",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-26",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-27",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-28",,,,,"0.15",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-29",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-30",,,,,"0.02",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-03-31",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-01",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-02",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-03",,,,,"0.21",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-04",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-05",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-06",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-07",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-08",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-09",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-10",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-11",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-12",,,,,"0.02",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-13",,,,,"0.05",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-14",,,,,"0.08",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-15",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-16",,,,,"0.14",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-17",,,,,"0.13",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-18",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-19",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-20",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-21",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-22",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-23",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-24",,,,,"0.11",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-25",,,,,"0.02",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-26",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-27",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-28",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-29",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-04-30",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-01",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-02",,,,,"0.00","T,,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-03",,,,,"0.02",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-04",,,,,"0.00","T,,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-05",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-06",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-07",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-08",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-09",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-10",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-11",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-12",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-13",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-14",,,,,"0.00","T,,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-16",,,,,"0.17",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-18",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-19",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-20",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-21",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-22",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-23",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-24",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-25",,,,,"0.86",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-26",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-27",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-28",,,,,"0.13",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-29",,,,,"0.01",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-30",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-05-31",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-06-01",,,,,"0.00","T,,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-06-02",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-06-03",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-06-04",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-06-05",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-06-06",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-06-07",,,,,"0.19",",,N",,,,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-06-08",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-06-09",,,,,,,"0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-06-10",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-06-11",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-06-12",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-06-13",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-06-15",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-06-16",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-06-17",,,,,"0.00",",,N","0.0",",,N",,
"US1COAR0367","CHERRY CREEK RESERVOIR 2.1 E, CO US","39.626388","-104.830593","1715.7","2020-06-18",,,,,"0.00","T,,N",,,,
